Model,Dealer Group,Year,Month,Week,Forecast,Sellout
Product 5,Dealer Group 7,2016,1,1,,1869
Product 5,Dealer Group 5,2016,1,1,,0
Product 3,Dealer Group 8,2016,1,1,,0
Product 2,Dealer Group 8,2016,1,1,,0
Product 6,Dealer Group 8,2016,1,1,,6913
Product 6,Dealer Group 7,2016,1,1,,1078
Product 5,Dealer Group 2,2016,1,1,,2522
Product 6,Dealer Group 4,2016,1,1,,113
Product 5,Dealer Group 8,2016,1,1,,21025
Product 6,Dealer Group 1,2016,1,1,,2178
Product 6,Dealer Group 2,2016,1,1,,2118
Product 5,Dealer Group 6,2016,1,1,,158
Product 6,Dealer Group 6,2016,1,1,,62
Product 5,Dealer Group 1,2016,1,1,,696
Product 5,Dealer Group 4,2016,1,1,,128
Product 6,Dealer Group 5,2016,1,1,,0
Product 2,Dealer Group 2,2016,1,2,,0
Product 3,Dealer Group 2,2016,1,2,,0
Product 6,Dealer Group 2,2016,1,2,,1878
Product 6,Dealer Group 5,2016,1,2,,0
Product 6,Dealer Group 8,2016,1,2,,6464
Product 2,Dealer Group 8,2016,1,2,,0
Product 6,Dealer Group 1,2016,1,2,,1794
Product 5,Dealer Group 1,2016,1,2,,17
Product 6,Dealer Group 4,2016,1,2,,83
Product 6,Dealer Group 7,2016,1,2,,1299
Product 5,Dealer Group 2,2016,1,2,,2330
Product 5,Dealer Group 4,2016,1,2,,108
Product 5,Dealer Group 7,2016,1,2,,2146
Product 5,Dealer Group 6,2016,1,2,,142
Product 5,Dealer Group 5,2016,1,2,,0
Product 3,Dealer Group 8,2016,1,2,,0
Product 6,Dealer Group 6,2016,1,2,,56
Product 5,Dealer Group 8,2016,1,2,,18098
Product 6,Dealer Group 2,2016,1,3,,2203
Product 6,Dealer Group 1,2016,1,3,,1555
Product 5,Dealer Group 6,2016,1,3,,137
Product 5,Dealer Group 7,2016,1,3,,2217
Product 5,Dealer Group 2,2016,1,3,,2456
Product 6,Dealer Group 8,2016,1,3,,6967
Product 5,Dealer Group 5,2016,1,3,,0
Product 6,Dealer Group 6,2016,1,3,,72
Product 2,Dealer Group 8,2016,1,3,,0
Product 6,Dealer Group 4,2016,1,3,,71
Product 6,Dealer Group 7,2016,1,3,,1392
Product 5,Dealer Group 4,2016,1,3,,118
Product 5,Dealer Group 1,2016,1,3,,1
Product 5,Dealer Group 8,2016,1,3,,19878
Product 2,Dealer Group 2,2016,1,3,,0
Product 6,Dealer Group 5,2016,1,3,,0
Product 3,Dealer Group 2,2016,1,3,,0
Product 3,Dealer Group 8,2016,1,3,,0
Product 3,Dealer Group 2,2016,1,4,,0
Product 2,Dealer Group 6,2016,1,4,,0
Product 3,Dealer Group 8,2016,1,4,,2
Product 2,Dealer Group 2,2016,1,4,,0
Product 3,Dealer Group 1,2016,1,4,,0
Product 6,Dealer Group 1,2016,1,4,,1562
Product 5,Dealer Group 4,2016,1,4,,115
