geoName,Sony Playstation
Andaman and Nicobar Islands,0
Andhra Pradesh,18
Arunachal Pradesh,0
Assam,9
Bihar,9
Chandigarh,27
Chhattisgarh,19
Dadra and Nagar Haveli,0
Daman and Diu,0
Delhi,39
Goa,34
Gujarat,20
Haryana,32
Himachal Pradesh,16
Jammu and Kashmir,20
Jharkhand,13
Karnataka,35
Kerala,29
Lakshadweep,0
Madhya Pradesh,16
Maharashtra,26
Manipur,0
Meghalaya,0
Mizoram,0
Nagaland,0
Odisha,19
Puducherry,100
Punjab,37
Rajasthan,17
Sikkim,0
Tamil Nadu,45
Telangana,32
Tripura,0
Uttar Pradesh,17
Uttarakhand,27
West Bengal,18
