geoName,Sony bravia
Andaman and Nicobar Islands,0
Andhra Pradesh,60
Arunachal Pradesh,82
Assam,31
Bihar,24
Chandigarh,43
Chhattisgarh,32
Dadra and Nagar Haveli,100
Daman and Diu,0
Delhi,45
Goa,52
Gujarat,46
Haryana,34
Himachal Pradesh,56
Jammu and Kashmir,47
Jharkhand,41
Karnataka,61
Kerala,42
Lakshadweep,0
Madhya Pradesh,25
Maharashtra,53
Manipur,30
Meghalaya,65
Mizoram,73
Nagaland,98
Odisha,45
Puducherry,58
Punjab,32
Rajasthan,25
Sikkim,0
Tamil Nadu,75
Telangana,72
Tripura,37
Uttar Pradesh,26
Uttarakhand,33
West Bengal,36
